like_id,user_id,post_id
like_1,58,post_1
like_2,171,post_1
like_3,119,post_2
like_4,149,post_3
like_5,188,post_4
like_6,306,post_5
like_7,328,post_5
like_8,152,post_5
like_9,180,post_6
like_10,204,post_6
like_11,95,post_7
like_12,213,post_8
like_13,110,post_9
like_14,105,post_10
like_15,322,post_10
like_16,85,post_11
like_17,291,post_12
like_18,265,post_15
like_19,148,post_15
like_20,238,post_16
like_21,151,post_17
like_22,261,post_19
like_23,214,post_20
like_24,312,post_20
like_25,137,post_20
like_26,116,post_20
like_27,289,post_22
like_28,138,post_22
like_29,343,post_23
like_30,67,post_24
like_31,277,post_24
like_32,232,post_24
like_33,109,post_25
like_34,248,post_25
like_35,297,post_26
like_36,236,post_26
like_37,104,post_26
like_38,31,post_26
like_39,345,post_26
like_40,56,post_26
like_41,339,post_27
like_42,124,post_28
like_43,80,post_29
like_44,170,post_30
like_45,67,post_30
like_46,72,post_31
like_47,288,post_31
like_48,276,post_32
like_49,280,post_33
like_50,185,post_33
like_51,62,post_33
like_52,188,post_34
like_53,176,post_34
like_54,67,post_34
like_55,271,post_34
like_56,54,post_35
like_57,149,post_36
like_58,140,post_36
like_59,252,post_37
like_60,188,post_38
like_61,25,post_39
like_62,339,post_39
like_63,277,post_39
like_64,337,post_40
like_65,42,post_41
like_66,173,post_42
like_67,414,post_42
like_68,143,post_43
like_69,127,post_44
like_70,117,post_46
like_71,119,post_47
like_72,25,post_47
like_73,169,post_48
like_74,72,post_48
like_75,326,post_49
like_76,337,post_50
like_77,33,post_51
like_78,343,post_53
like_79,20,post_53
like_80,41,post_53
like_81,312,post_53
like_82,142,post_54
like_83,177,post_55
like_84,301,post_56
like_85,57,post_57
like_86,255,post_58
like_87,314,post_59
like_88,83,post_60
like_89,31,post_60
like_90,192,post_61
like_91,54,post_62
like_92,317,post_62
like_93,48,post_62
like_94,242,post_63
like_95,27,post_64
like_96,170,post_65
like_97,104,post_65
like_98,62,post_66
like_99,290,post_66
like_100,128,post_66
like_101,291,post_67
like_102,277,post_67
like_103,82,post_67
like_104,323,post_67
like_105,334,post_67
like_106,21,post_68
like_107,342,post_68
like_108,207,post_68
like_109,341,post_68
like_110,132,post_68
like_111,92,post_69
like_112,24,post_69
like_113,171,post_70
like_114,250,post_71
like_115,325,post_71
like_116,285,post_72
like_117,193,post_73
like_118,276,post_74
like_119,318,post_74
like_120,170,post_74
like_121,342,post_75
like_122,189,post_76
like_123,171,post_76
like_124,25,post_77
like_125,82,post_77
like_126,118,post_77
like_127,134,post_78
like_128,186,post_79
like_129,72,post_79
like_130,315,post_79
like_131,200,post_79
like_132,212,post_79
like_133,69,post_80
like_134,323,post_80
like_135,224,post_80
like_136,212,post_80
like_137,69,post_81
like_138,261,post_81
like_139,199,post_81
like_140,143,post_82
like_141,67,post_83
like_142,230,post_84
like_143,230,post_85
like_144,307,post_85
like_145,67,post_86
like_146,56,post_87
like_147,132,post_87
like_148,88,post_88
like_149,30,post_88
like_150,126,post_88
like_151,170,post_90
like_152,25,post_91
like_153,270,post_91
like_154,294,post_92
like_155,40,post_92
like_156,117,post_92
like_157,231,post_92
like_158,218,post_93
like_159,119,post_94
like_160,57,post_95
like_161,286,post_96
like_162,123,post_97
like_163,169,post_97
like_164,170,post_97
like_165,261,post_97
like_166,51,post_98
like_167,237,post_98
like_168,25,post_98
like_169,23,post_98
like_170,84,post_98
like_171,236,post_99
like_172,265,post_99
like_173,9,post_100
like_174,175,post_101
like_175,278,post_101
like_176,227,post_101
like_177,136,post_102
like_178,236,post_103
like_179,106,post_103
like_180,219,post_104
like_181,6,post_104
like_182,319,post_104
like_183,95,post_104
like_184,179,post_105
like_185,8,post_106
like_186,193,post_106
like_187,245,post_106
like_188,110,post_106
like_189,201,post_106
like_190,24,post_107
like_191,266,post_107
like_192,187,post_107
like_193,254,post_107
like_194,57,post_107
like_195,137,post_108
like_196,92,post_109
like_197,299,post_110
like_198,242,post_110
like_199,6,post_111
like_200,62,post_112
like_201,230,post_113
like_202,182,post_113
like_203,277,post_114
like_204,67,post_114
like_205,278,post_115
like_206,163,post_116
like_207,266,post_117
like_208,187,post_117
like_209,296,post_118
like_210,99,post_118
like_211,263,post_118
like_212,56,post_119
like_213,26,post_120
like_214,119,post_121
like_215,238,post_122
like_216,332,post_122
like_217,88,post_122
like_218,231,post_122
like_219,1726,post_123
like_220,580,post_124
like_221,601,post_124
like_222,1534,post_124
like_223,36,post_125
like_224,251,post_125
like_225,127,post_125
like_226,284,post_125
like_227,26,post_126
like_228,259,post_127
like_229,20,post_128
like_230,19,post_129
like_231,252,post_130
like_232,17,post_132
like_233,20,post_132
like_234,220,post_132
like_235,144,post_133
like_236,149,post_133
like_237,285,post_134
like_238,211,post_135
like_239,203,post_135
like_240,211,post_136
like_241,277,post_136
like_242,188,post_137
like_243,200,post_137
like_244,331,post_137
like_245,25,post_138
like_246,50,post_139
like_247,122,post_139
like_248,109,post_139
like_249,269,post_139
like_250,247,post_140
like_251,136,post_140
like_252,277,post_140
like_253,39,post_141
like_254,236,post_141
like_255,170,post_142
like_256,280,post_143
like_257,26,post_144
like_258,157,post_145
like_259,119,post_146
like_260,136,post_146
like_261,48,post_147
like_262,73,post_147
like_263,309,post_148
like_264,135,post_148
like_265,108,post_148
like_266,139,post_148
like_267,281,post_148
like_268,172,post_149
like_269,119,post_150
like_270,172,post_150
like_271,211,post_150
like_272,7,post_151
like_273,339,post_151
like_274,347,post_151
like_275,329,post_152
like_276,191,post_152
like_277,300,post_152
like_278,143,post_153
like_279,278,post_153
