post_id,user_id,topic_circle,engagement_seed
post_1,0,107_circle3,1
post_2,1,0_circle15,1
post_3,2,0_circle10,1
post_4,3,0_circle15,1
post_5,4,general,1
post_6,5,0_circle16,1
post_7,6,0_circle15,1
post_8,7,0_circle15,1
post_9,8,general,1
post_10,9,0_circle15,3
post_11,9,0_circle16,3
post_12,10,0_circle15,1
post_13,11,general,1
post_14,12,0_circle21,1
post_15,13,0_circle11,2
post_16,13,0_circle11,2
post_17,14,0_circle10,1
post_18,15,0_circle15,1
post_19,16,0_circle15,1
post_20,17,0_circle19,1
post_21,18,general,1
post_22,19,general,1
post_23,20,0_circle19,1
post_24,21,0_circle15,3
post_25,21,0_circle15,3
post_26,21,0_circle15,3
post_27,22,0_circle15,1
post_28,23,0_circle15,1
post_29,24,0_circle16,1
post_30,25,0_circle15,3
post_31,25,0_circle15,3
post_32,25,0_circle15,3
post_33,26,0_circle15,3
post_34,26,0_circle15,3
post_35,27,general,1
post_36,28,0_circle23,1
post_37,29,0_circle0,1
post_38,30,general,1
post_39,31,0_circle15,1
post_40,32,0_circle6,1
post_41,33,0_circle19,1
post_42,34,0_circle16,1
post_43,35,0_circle6,1
post_44,36,0_circle15,1
post_45,37,0_circle16,1
post_46,38,0_circle15,1
post_47,39,0_circle15,1
post_48,40,0_circle15,2
post_49,41,0_circle19,1
post_50,41,0_circle6,1
post_51,42,0_circle10,1
post_52,43,general,1
post_53,44,0_circle19,1
post_54,45,0_circle15,1
post_55,46,0_circle7,1
post_56,47,0_circle15,1
post_57,48,0_circle16,1
post_58,49,0_circle15,1
post_59,50,0_circle15,1
post_60,51,0_circle3,1
post_61,52,0_circle17,1
post_62,53,general,2
post_63,53,general,2
post_64,54,0_circle0,1
post_65,55,0_circle15,1
post_66,56,0_circle15,4
post_67,56,0_circle15,4
post_68,56,0_circle15,4
post_69,57,0_circle16,1
post_70,58,0_circle16,1
post_71,59,0_circle4,1
post_72,60,0_circle15,1
post_73,61,0_circle0,1
post_74,62,0_circle15,2
post_75,63,0_circle15,1
post_76,64,0_circle15,1
post_77,65,0_circle15,1
post_78,66,0_circle11,1
post_79,67,0_circle15,4
post_80,67,0_circle15,4
post_81,67,0_circle15,4
post_82,68,0_circle13,1
post_83,69,0_circle15,1
post_84,70,0_circle11,1
post_85,71,0_circle0,1
post_86,72,0_circle15,1
post_87,72,0_circle15,1
post_88,73,0_circle9,1
post_89,74,0_circle9,1
post_90,75,general,1
post_91,76,0_circle11,1
post_92,77,0_circle15,1
post_93,78,general,1
post_94,79,0_circle15,1
post_95,80,0_circle16,1
post_96,81,0_circle0,1
post_97,82,0_circle15,2
post_98,83,0_circle3,1
post_99,84,0_circle4,1
post_100,85,0_circle16,1
post_101,86,0_circle13,1
post_102,87,0_circle15,1
post_103,88,general,1
post_104,89,0_circle15,1
post_105,90,0_circle17,1
post_106,91,general,1
post_107,92,0_circle16,1
post_108,93,0_circle19,1
post_109,94,0_circle16,1
post_110,94,0_circle16,1
post_111,95,0_circle15,1
post_112,96,0_circle15,1
post_113,97,0_circle0,1
post_114,98,0_circle15,2
post_115,99,0_circle2,1
post_116,100,general,1
post_117,101,0_circle16,1
post_118,102,general,1
post_119,103,0_circle15,1
post_120,104,0_circle15,2
post_121,105,0_circle15,1
post_122,106,general,1
post_123,107,1684_circle8,2
post_124,107,414_circle1,2
post_125,108,0_circle15,1
post_126,109,0_circle15,2
post_127,110,0_circle0,1
post_128,111,0_circle6,1
post_129,112,general,1
post_130,113,0_circle11,2
post_131,114,0_circle15,1
post_132,115,0_circle19,1
post_133,116,0_circle2,1
post_134,117,0_circle15,1
post_135,118,0_circle11,2
post_136,118,0_circle11,2
post_137,119,0_circle15,3
post_138,119,0_circle15,3
post_139,119,0_circle15,3
post_140,120,general,1
post_141,121,0_circle15,1
post_142,122,0_circle15,3
post_143,122,0_circle4,3
post_144,123,0_circle15,1
post_145,124,0_circle15,1
post_146,125,0_circle15,1
post_147,126,0_circle17,1
post_148,127,0_circle15,1
post_149,128,0_circle15,2
post_150,128,0_circle15,2
post_151,129,0_circle15,1
post_152,130,general,1
post_153,131,0_circle13,1
post_154,132,0_circle0,1
post_155,133,0_circle15,1
post_156,134,0_circle11,1
post_157,135,0_circle15,1
post_158,136,0_circle15,6
post_159,136,1912_circle1,6
post_160,136,1912_circle33,6
post_161,136,1912_circle38,6
post_162,137,0_circle19,1
post_163,138,0_circle13,1
post_164,139,0_circle15,1
post_165,140,0_circle2,1
post_166,141,0_circle15,2
post_167,141,0_circle15,2
post_168,142,0_circle15,2
post_169,143,0_circle13,1
post_170,144,0_circle2,1
post_171,145,0_circle17,1
post_172,146,0_circle15,1
post_173,147,0_circle2,1
post_174,148,0_circle15,1
post_175,149,0_circle23,1
post_176,150,0_circle2,1
post_177,151,0_circle11,1
post_178,152,0_circle15,1
post_179,153,general,1
post_180,154,0_circle9,1
post_181,155,0_circle2,1
post_182,156,0_circle4,1
post_183,157,0_circle15,1
post_184,158,0_circle11,1
post_185,159,general,1
post_186,160,general,1
post_187,161,0_circle11,1
post_188,162,0_circle23,1
post_189,163,0_circle0,1
post_190,164,0_circle9,1
post_191,165,0_circle11,1
post_192,166,general,1
post_193,167,general,1
post_194,168,0_circle15,1
post_195,169,0_circle15,2
post_196,170,0_circle15,2
post_197,171,0_circle15,1
post_198,172,0_circle15,2
post_199,173,0_circle1,1
post_200,174,0_circle20,1
post_201,175,0_circle14,1
post_202,176,0_circle15,1
post_203,177,0_circle18,1
post_204,178,general,1
post_205,179,0_circle17,1
post_206,180,0_circle16,1
post_207,181,general,1
post_208,182,general,1
post_209,183,0_circle0,1
post_210,184,general,1
post_211,185,0_circle15,2
post_212,186,0_circle15,2
post_213,187,0_circle16,1
post_214,188,0_circle15,2
post_215,189,0_circle15,1
post_216,190,0_circle15,1
post_217,191,general,1
post_218,192,0_circle6,1
post_219,193,0_circle0,1
post_220,194,0_circle16,1
post_221,195,general,1
post_222,196,0_circle15,1
post_223,197,0_circle15,1
post_224,198,0_circle15,1
