user_id,is_ego,degree,circle_count,ego_network_count,primary_ego_id
0,1,2,1,2,0
1,0,16,1,1,0
2,0,9,1,1,0
3,0,16,1,1,0
4,0,9,0,1,0
5,0,12,1,1,0
6,0,5,1,1,0
7,0,19,1,1,0
8,0,7,0,1,0
9,0,56,2,1,0
10,0,9,1,1,0
11,0,0,0,1,0
12,0,0,1,1,0
13,0,30,1,1,0
14,0,14,1,1,0
15,0,0,1,1,0
16,0,8,1,1,0
17,0,12,2,1,0
18,0,0,0,1,0
19,0,15,0,1,0
20,0,14,2,1,0
21,0,64,1,1,0
22,0,10,1,1,0
23,0,16,2,1,0
24,0,15,1,1,0
25,0,68,1,1,0
26,0,67,1,1,0
27,0,4,0,1,0
28,0,12,1,1,0
29,0,12,1,1,0
30,0,16,0,1,0
31,0,22,1,1,0
32,0,5,1,1,0
33,0,1,1,1,0
34,0,4,3,3,0
35,0,1,1,1,0
36,0,10,2,1,0
37,0,0,1,1,0
38,0,8,1,1,0
39,0,14,1,1,0
40,0,43,1,1,0
41,0,23,2,1,0
42,0,1,1,1,0
43,0,0,0,1,0
44,0,5,1,1,0
45,0,11,1,1,0
46,0,4,1,1,0
47,0,1,1,1,0
48,0,21,1,1,0
49,0,3,1,1,0
50,0,10,1,1,0
51,0,6,1,1,0
52,0,1,2,1,0
53,0,30,0,1,0
54,0,7,2,1,0
55,0,16,2,1,0
56,0,77,1,1,0
57,0,14,1,1,0
58,0,11,5,4,0
59,0,18,1,1,0
60,0,7,1,1,0
61,0,2,1,1,0
62,0,25,1,1,0
63,0,5,1,1,0
64,0,6,1,1,0
65,0,11,1,1,0
66,0,14,1,1,0
67,0,75,1,1,0
68,0,8,1,1,0
69,0,9,2,1,0
70,0,1,1,1,0
71,0,2,1,1,0
72,0,23,1,1,0
73,0,9,1,1,0
74,0,0,1,1,0
75,0,13,0,1,0
76,0,2,1,1,0
77,0,5,1,1,0
78,0,8,0,1,0
79,0,11,1,1,0
80,0,22,1,1,0
81,0,2,1,1,0
82,0,33,1,1,0
83,0,6,1,1,0
84,0,12,1,1,0
85,0,13,1,1,0
86,0,5,1,1,0
87,0,12,1,1,0
88,0,19,0,1,0
89,0,7,1,1,0
90,0,1,1,1,0
91,0,7,0,1,0
92,0,20,1,1,0
93,0,7,2,1,0
94,0,21,1,1,0
95,0,5,1,1,0
96,0,8,1,1,0
97,0,2,2,1,0
98,0,48,1,1,0
99,0,12,1,1,0
100,0,8,0,1,0
101,0,18,1,1,0
102,0,5,0,1,0
103,0,15,1,1,0
104,0,31,1,1,0
105,0,13,2,1,0
106,0,7,0,1,0
107,1,25,4,4,0
108,0,12,1,1,0
109,0,36,1,1,0
110,0,4,1,1,0
111,0,13,1,1,0
112,0,2,0,1,0
113,0,39,1,1,0
114,0,0,1,1,0
115,0,20,2,1,0
116,0,16,1,1,0
117,0,5,1,1,0
118,0,35,1,1,0
119,0,61,1,1,0
120,0,3,0,1,0
121,0,11,1,1,0
122,0,62,2,1,0
123,0,17,1,1,0
124,0,3,1,1,0
125,0,3,2,1,0
126,0,6,1,1,0
127,0,15,2,1,0
128,0,27,1,1,0
129,0,6,1,1,0
130,0,15,0,1,0
131,0,6,1,1,0
132,0,15,1,1,0
133,0,17,1,1,0
134,0,18,1,1,0
135,0,9,2,1,0
136,0,131,4,2,0
137,0,15,2,1,0
138,0,1,1,1,0
139,0,8,2,1,0
140,0,10,1,1,0
141,0,27,1,1,0
142,0,42,1,1,0
143,0,11,1,1,0
144,0,14,1,1,0
145,0,1,1,1,0
146,0,9,2,1,0
147,0,5,1,1,0
148,0,19,1,1,0
149,0,13,1,1,0
150,0,10,1,1,0
151,0,6,1,1,0
152,0,4,1,1,0
153,0,1,0,1,0
154,0,1,1,1,0
155,0,2,1,1,0
156,0,11,1,1,0
157,0,2,1,1,0
158,0,24,1,1,0
159,0,13,0,1,0
160,0,1,0,1,0
161,0,24,1,1,0
162,0,7,1,1,0
163,0,5,1,1,0
164,0,2,1,1,0
165,0,10,1,1,0
166,0,3,0,1,0
167,0,6,0,1,0
168,0,10,1,1,0
169,0,37,1,1,0
170,0,45,1,1,0
171,0,22,2,3,0
172,0,40,2,1,0
173,0,11,5,3,0
174,0,3,1,1,0
175,0,16,1,1,0
176,0,13,1,1,0
177,0,10,1,1,0
178,0,12,0,1,0
179,0,2,1,1,0
180,0,19,1,1,0
181,0,9,0,1,0
182,0,2,0,1,0
183,0,1,2,1,0
184,0,17,0,1,0
185,0,25,1,1,0
186,0,43,1,1,0
187,0,15,1,1,0
188,0,47,1,1,0
189,0,6,1,1,0
190,0,3,1,1,0
191,0,2,0,1,0
192,0,4,1,1,0
193,0,4,1,1,0
194,0,18,1,1,0
195,0,8,0,1,0
196,0,12,1,1,0
197,0,15,2,1,0
198,0,10,4,2,0
199,0,46,1,1,0
200,0,56,1,1,0
201,0,3,0,1,0
202,0,3,1,1,0
203,0,56,1,1,0
204,0,21,1,1,0
205,0,1,0,1,0
206,0,3,1,1,0
207,0,2,1,1,0
208,0,6,1,1,0
209,0,0,1,1,0
210,0,0,1,1,0
211,0,29,1,1,0
212,0,17,1,1,0
213,0,38,1,1,0
214,0,16,2,1,0
215,0,0,1,1,0
216,0,1,1,1,0
217,0,7,0,1,0
218,0,8,1,1,0
219,0,5,1,1,0
220,0,3,1,1,0
221,0,7,0,1,0
222,0,10,1,1,0
223,0,26,1,1,0
224,0,27,1,1,0
225,0,9,1,1,0
226,0,13,0,1,0
227,0,14,1,1,0
228,0,2,0,1,0
229,0,5,1,1,0
230,0,8,0,1,0
231,0,20,0,1,0
232,0,24,0,1,0
233,0,1,1,1,0
234,0,1,0,1,0
235,0,4,1,1,0
236,0,36,2,1,0
237,0,6,1,1,0
238,0,22,1,1,0
239,0,58,1,1,0
240,0,2,1,1,0
241,0,1,0,1,0
242,0,23,1,1,0
243,0,7,0,1,0
244,0,1,1,1,0
245,0,4,1,1,0
246,0,13,1,1,0
247,0,2,1,1,0
248,0,20,1,1,0
249,0,23,1,1,0
250,0,4,1,1,0
251,0,13,2,1,0
252,0,64,1,1,0
253,0,2,1,1,0
254,0,16,1,1,0
255,0,1,1,1,0
256,0,1,1,1,0
257,0,17,1,1,0
258,0,14,2,1,0
259,0,7,1,1,0
260,0,7,0,1,0
261,0,37,1,1,0
262,0,3,1,1,0
263,0,6,0,1,0
264,0,4,1,1,0
265,0,26,1,1,0
266,0,17,1,1,0
267,0,1,1,1,0
268,0,10,1,1,0
269,0,5,1,1,0
270,0,3,1,1,0
271,0,72,1,1,0
272,0,44,0,1,0
273,0,8,0,1,0
274,0,13,1,1,0
275,0,9,0,1,0
276,0,17,1,1,0
277,0,64,1,1,0
278,0,9,1,1,0
279,0,1,1,1,0
280,0,42,2,1,0
281,0,15,2,1,0
282,0,1,2,1,0
283,0,4,0,1,0
284,0,15,0,1,0
285,0,46,1,1,0
286,0,1,1,1,0
287,0,0,0,1,0
288,0,3,1,1,0
289,0,3,1,1,0
290,0,13,1,1,0
291,0,35,1,1,0
292,0,0,1,1,0
293,0,2,1,1,0
294,0,2,2,1,0
295,0,9,1,1,0
296,0,6,0,1,0
297,0,24,1,1,0
298,0,10,2,1,0
299,0,19,1,1,0
300,0,6,0,1,0
301,0,2,1,1,0
302,0,19,0,1,0
303,0,20,1,1,0
304,0,54,1,1,0
305,0,1,0,1,0
306,0,8,0,1,0
307,0,3,0,1,0
308,0,23,2,1,0
309,0,9,2,1,0
310,0,12,1,1,0
311,0,6,1,1,0
312,0,25,2,1,0
313,0,36,1,1,0
314,0,12,1,1,0
315,0,55,1,1,0
316,0,1,1,1,0
317,0,6,1,1,0
318,0,10,1,1,0
319,0,7,1,1,0
320,0,20,0,1,0
321,0,2,1,1,0
322,0,71,1,1,0
323,0,38,1,1,0
324,0,25,1,1,0
325,0,38,1,1,0
326,0,18,2,1,0
327,0,3,1,1,0
328,0,8,1,1,0
329,0,29,0,1,0
330,0,15,1,1,0
331,0,19,1,1,0
332,0,42,1,1,0
333,0,7,1,1,0
334,0,27,1,1,0
335,0,0,0,1,0
336,0,2,1,1,0
337,0,8,1,1,0
338,0,6,1,1,0
339,0,26,1,1,0
340,0,5,1,1,0
341,0,11,1,1,0
342,0,33,1,1,0
343,0,17,2,1,0
344,0,8,1,1,0
345,0,15,1,1,0
346,0,26,0,1,0
347,0,6,1,1,0
348,1,55,4,3,107
349,0,4,2,1,348
350,0,20,2,1,348
351,0,4,1,1,348
352,0,22,3,1,348
353,0,101,2,2,107
354,0,25,2,1,348
355,0,38,2,1,348
356,0,2,1,1,348
357,0,17,2,1,348
358,0,0,1,1,348
359,0,25,2,1,348
360,0,42,3,1,348
361,0,22,2,1,348
362,0,18,3,1,348
363,0,96,5,3,107
364,0,8,1,1,348
365,0,5,1,1,348
366,0,96,4,2,107
